thread,activation,lock,kind,scope,executable,line,prefix,source,package,raw
"T1","A3","*","method","The COROUTINE class","INIT","      ",">>>","  ""The NIL object""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","    88","*-*","self~object = .nil","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">V>","  SELF => ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">E>","  .NIL => ""The NIL object""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">A>","  ""The NIL object""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">>>","  ""The NIL object""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","    90","*-*","self~doer = action~doer","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">V>","  SELF => ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">V>","  ACTION => ""say ""running coroutine"" ; return 1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">M>","  ""DOER"" => ""a Routine""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">A>","  ""a Routine""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">>>","  ""a Routine""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","    91","*-*","if self~doer~isA(.Routine) ","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">V>","  SELF => ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">M>","  ""DOER"" => ""a Routine""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">E>","  .ROUTINE => ""The Routine class""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">A>","  ""The Routine class""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">M>","  ""ISA"" => ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">>>","  ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","    91","*-*","  then","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","    91","*-*","    use strict arg action=""main"", start = .true","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">>>","      ""say ""running coroutine"" ; return 1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">=>","      ACTION <= ""say ""running coroutine"" ; return 1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">>>","      ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">=>","      START <= ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","    94","*-*","self~status = .Coroutine~notStarted","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">V>","  SELF => ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">E>","  .COROUTINE => ""The COROUTINE class""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">M>","  ""NOTSTARTED"" => ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">A>","  ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">>>","  ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","    95","*-*","if start ","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">V>","  START => ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A3","*","method","The COROUTINE class","INIT","      ",">>>","  ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","      ",">I>","Method START with scope ""The COROUTINE class"" in package D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","   105","*-*","expose status","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","   106","*-*","use strict arg -- no arg","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","   107","*-*","if status <> .Coroutine~notStarted ","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","      ",">V>","  STATUS => ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","      ",">E>","  .COROUTINE => ""The COROUTINE class""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","      ",">M>","  ""NOTSTARTED"" => ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","      ",">O>","  ""<>"" => ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","      ",">>>","  ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","   108","*-*",".Coroutine~table~put(self, self)","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","      ",">E>","  .COROUTINE => ""The COROUTINE class""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","      ",">M>","  ""TABLE"" => ""an IdentityTable""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","      ",">V>","  SELF => ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","      ",">A>","  ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","      ",">V>","  SELF => ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","      ",">A>","  ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","   109","*-*","status = .Coroutine~suspended","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","      ",">E>","  .COROUTINE => ""The COROUTINE class""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","      ",">M>","  ""SUSPENDED"" => ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","      ",">>>","  ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","      ",">=>","  STATUS <= ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4","*","method","The COROUTINE class","START","   110","*-*","guard off","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4"," ","method","The COROUTINE class","START","   111","*-*","reply self","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4"," ","method","The COROUTINE class","START","      ",">V>","  SELF => ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A4"," ","method","The COROUTINE class","START","      ",">>>","  ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4"," ","method","The COROUTINE class","START","      ",">I>","Method START with scope ""The COROUTINE class"" in package D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">I>","Method RESUME with scope ""The COROUTINE class"" in package D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4"," ","method","The COROUTINE class","START","   112","*-*","signal on any ","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","   190","*-*","expose status yieldValue","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4"," ","method","The COROUTINE class","START","   113","*-*","guard on when status <> .Coroutine~suspended","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","   191","*-*","if status == .Coroutine~notStarted ","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">V>","  STATUS => ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">V>","  STATUS => ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">E>","  .COROUTINE => ""The COROUTINE class""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">E>","  .COROUTINE => ""The COROUTINE class""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">M>","  ""SUSPENDED"" => ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">M>","  ""NOTSTARTED"" => ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">O>","  ""<>"" => ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">O>","  ""=="" => ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">>>","  ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">>>","  ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","   192","*-*","if status == .Coroutine~killed ","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">V>","  STATUS => ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">E>","  .COROUTINE => ""The COROUTINE class""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">M>","  ""KILLED"" => ""4""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">O>","  ""=="" => ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">>>","  ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","   193","*-*","if status == .Coroutine~completed ","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">V>","  STATUS => ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">E>","  .COROUTINE => ""The COROUTINE class""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">M>","  ""COMPLETED"" => ""3""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">O>","  ""=="" => ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">>>","  ""0""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","   194","*-*","self~arguments = arg(1, ""a"")","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">V>","  SELF => ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">L>","  ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">A>","  ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">L>","  ""a""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">A>","  ""a""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">F>","  ARG => ""an Array""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">A>","  ""an Array""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">>>","  ""an Array""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","   195","*-*","status = .Coroutine~running","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">E>","  .COROUTINE => ""The COROUTINE class""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">M>","  ""RUNNING"" => ""2""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">>>","  ""2""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">V>","  STATUS => ""2""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","      ",">=>","  STATUS <= ""2""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">E>","  .COROUTINE => ""The COROUTINE class""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5"," ","method","The COROUTINE class","RESUME","   196","*-*","guard on when status <> .Coroutine~running","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">M>","  ""SUSPENDED"" => ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">O>","  ""<>"" => ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">>>","  ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","   114","*-*","if status == .Coroutine~running ","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">V>","  STATUS => ""2""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">E>","  .COROUTINE => ""The COROUTINE class""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">M>","  ""RUNNING"" => ""2""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">O>","  ""=="" => ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">>>","  ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","   114","*-*","  then","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","   114","*-*","    do","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","   117","*-*","      self~arguments~append(self)","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">V>","        SELF => ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">M>","        ""ARGUMENTS"" => ""an Array""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">V>","        SELF => ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">A>","        ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","      ",">>>","        ""1""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4","*","method","The COROUTINE class","START","   118","*-*","      guard off","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4"," ","method","The COROUTINE class","START","   119","*-*","      select","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5","*","method","The COROUTINE class","RESUME","      ",">V>","  STATUS => ""2""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4"," ","method","The COROUTINE class","START","   121","*-*","        when self~routine <> .nil ","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5","*","method","The COROUTINE class","RESUME","      ",">E>","  .COROUTINE => ""The COROUTINE class""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T2","A4"," ","method","The COROUTINE class","START","      ",">V>","          SELF => ""a COROUTINE""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
"T1","A5","*","method","The COROUTINE class","RESUME","      ",">M>","  ""RUNNING"" => ""2""","D:\local\Rexx\ooRexx\svn\sandbox\jlf\samples\generator\coroutine.cls","."
